family_key,family_title,variant_count,variant_codes,variant_labels,colors,sizes,supplier_codes,gtins,min_msrp,max_msrp,image_count,source_urls
612020,ΣΚΟΥΦΟΣ POWERSTRETCH,1,02,ΜΠΡΕΛΟΚ ORIGINAL BAG,,,612020-02,,19.00,19.00,5,https://www.polo.gr/bags/travel/el-travel-accessories/el-beanie-powerstretch/
612022,ΣΚΟΥΦΟΣ ΙΣΟΘΕΡΜΙΚΟΣ POLARTEC,1,02,ΜΠΡΕΛΟΚ ORIGINAL BAG,,,612022-02,,15.00,15.00,5,https://www.polo.gr/bags/travel/el-travel-accessories/el-beanie-polartec/
612026,ΜΠΑΛΑΚΛΑΒΑ POWERSTRETCH,1,02,ΜΠΡΕΛΟΚ ORIGINAL BAG,,,612026-02,,19.00,19.00,5,https://www.polo.gr/bags/travel/el-travel-accessories/el-full-face-powerstretch/
612027,ΜΠΑΛΑΚΛΑΒΑ WINDBLOC,1,0000,ΜΠΡΕΛΟΚ ORIGINAL BAG,,,612027-0000,,26.20,26.20,5,https://www.polo.gr/bags/travel/el-travel-accessories/el-full-face-windbloc/
848073,ΠΑΓΟΥΡΙ ΑΛΟΥΜΙΝΙΟΥ HIT CAP 0.45L (G45) LAKEN,4,CL|PU|RO|SU,ΜΠΡΕΛΟΚ ORIGINAL BAG,,,848073-CL|848073-PU|848073-RO|848073-SU,,15.00,15.00,36,https://www.polo.gr/bags/back2school/el-back2school-bottles-thermos/el-bottle-hit-cap-g45-0-45l-cl/|https://www.polo.gr/bags/back2school/el-back2school-bottles-thermos/el-bottle-hit-cap-g45-0-45l-pu/|https://www.polo.gr/bags/back2school/el-back2school-bottles-thermos/el-bottle-hit-cap-g45-0-45l-ro/|https://www.polo.gr/bags/back2school/el-back2school-bottles-thermos/el-bottle-hit-cap-g45-0-45l-su/
848116,ΠΑΓΟΥΡΙ BASIC STEEL PLAIN LAKEN 1lt (BS100) LAKEN,6,02|03|12|17|41|57,ΚΟΡΔΟΝΙ ΜΠΡΕΛΟΚ ΓΙΑ ΚΙΝΗΤΟ,,,848116-02|848116-03|848116-12|848116-17|848116-41|848116-57,,18.00,18.00,52,https://www.polo.gr/bags/back2school/el-back2school-bottles-thermos/el-bottle-basic-steel-plain-laken-1lt-bs100-laken-02/|https://www.polo.gr/bags/travel/el-travel-bottles-thermos/el-bottle-basic-steel-plain-laken-1lt-bs100-laken-03/|https://www.polo.gr/bags/back2school/el-back2school-bottles-thermos/el-bottle-basic-steel-plain-laken-1lt-bs100-laken-12/|https://www.polo.gr/bags/back2school/el-back2school-bottles-thermos/el-bottle-basic-steel-plain-laken-1lt-bs100-laken-17/|https://www.polo.gr/bags/back2school/el-back2school-bottles-thermos/el-bottle-basic-steel-plain-laken-1lt-bs100-laken-41/|https://www.polo.gr/bags/travel/el-travel-bottles-thermos/el-bottle-basic-steel-plain-laken-1lt-bs100-laken-57/
848223,ΠΑΓΟΥΡΙ TRITAN OBY CAP 0.45L (OBY) LAKEN,8,BA|CH|DL|ER|FC|FR|JU|PI,ΜΠΡΕΛΟΚ ORIGINAL BAG|ΠΑΓΟΥΡΙ TRITAN OBY 0.45lt LAKEN,,,848223-BA|848223-CH|848223-DL|848223-ER|848223-FC|848223-FR|848223-JU|848223-PI,,15.00,15.00,96,https://www.polo.gr/bags/back2school/el-back2school-bottles-thermos/el-bottle-tritan-oby-cap-0-45l-ba/|https://www.polo.gr/bags/back2school/el-back2school-bottles-thermos/el-bottle-tritan-oby-cap-0-45l-ch/|https://www.polo.gr/bags/back2school/el-back2school-bottles-thermos/el-bottle-tritan-oby-cap-0-45l-dl/|https://www.polo.gr/bags/back2school/el-back2school-bottles-thermos/el-bottle-tritan-oby-cap-0-45l-er/|https://www.polo.gr/bags/back2school/el-back2school-bottles-thermos/el-bottle-tritan-oby-cap-0-45l-fc/|https://www.polo.gr/bags/back2school/el-back2school-bottles-thermos/el-bottle-tritan-oby-cap-0-45l-fr/|https://www.polo.gr/bags/back2school/el-back2school-bottles-thermos/el-bottle-tritan-oby-cap-0-45l-ju/|https://www.polo.gr/bags/back2school/el-back2school-bottles-thermos/el-bottle-tritan-oby-cap-0-45l-pi/
849019,"ΘΕΡΜΟΣ JANNU 0,75L (TJ7) LAKEN",1,25,ΚΟΡΔΟΝΙ ΜΠΡΕΛΟΚ ΓΙΑ ΚΙΝΗΤΟ,,,849019-25,,29.00,29.00,5,https://www.polo.gr/bags/travel/el-travel-bottles-thermos/el-thermos-jannu-075l-tj7-laken-25/
849020,"ΘΕΡΜΟΣ BEVERAGE 0,50L (180050/1850) LAKEN",1,14,"ΘΕΡΜΟΣ JANNU 0,75L (TJ7) LAKEN",,,849020-14,,23.00,23.00,8,https://www.polo.gr/bags/travel/el-travel-bottles-thermos/el-beverage-050l-180050-1850-laken-14/
849089,"ΘΕΡΜΟΣ JANNU 0,5L (TJ5) LAKEN",5,03|05|14|16|25,ΜΠΡΕΛΟΚ ORIGINAL BAG,,,849089-03|849089-05|849089-14|849089-16|849089-25,,28.00,28.00,60,https://www.polo.gr/bags/travel/el-travel-bottles-thermos/el-thermos-jannu-05l-tj5-laken-03/|https://www.polo.gr/bags/travel/el-travel-bottles-thermos/el-thermos-jannu-05l-tj5-laken-05/|https://www.polo.gr/bags/travel/el-travel-bottles-thermos/el-thermos-jannu-05l-tj5-laken-14/|https://www.polo.gr/bags/back2school/el-back2school-bottles-thermos/%ce%b8%ce%b5%cf%81%ce%bc%ce%bf%cf%83-jannu-05l-tj5-laken-16/|https://www.polo.gr/bags/back2school/el-back2school-bottles-thermos/%ce%b8%ce%b5%cf%81%ce%bc%ce%bf%cf%83-jannu-05l-tj5-laken-25/
